ID,DATE,QUALITY,MIN_5CM,MIN_2M,MEAN_2M,MAX_2M,REL_HUMIDITY,MEAN_WIND_STRENGTH,MAX_WIND_SPEED,SUNSHINE,MEAN_CLOUDINESS,PRECIPITATION,MEAN_PRESSURE
102,2020-04-28,3,,7.7,8.2,8.9,84.92,5.8,9.7,2.317,,,1002.22,
102,2020-04-29,3,,7.7,9.1,10.8,92,4.4,10,0.3,,,999.82,
102,2020-04-30,3,,7.6,10.3,12.9,83.63,7.2,20.9,6.533,,,995.32,
102,2020-05-01,3,,7.6,9.3,11.9,83.25,8.2,19.7,4.983,,,993.93,
102,2020-05-02,3,,8.1,9.1,9.6,90.42,8.2,14.1,8.5,,,1001.22,
102,2020-05-03,3,,8.7,9.3,10,86.13,5,7.8,8.733,,,1012.29,
102,2020-05-04,3,,7.9,8.6,9.1,71.83,7.4,13.1,12.533,,,1016.07,
102,2020-05-05,3,,7.7,8.6,9.5,72.22,8.2,12.6,13.25,,,1018.68,
102,2020-05-06,3,,8.4,8.8,9.4,77.38,7.1,11.9,14.467,,,1021.71,
102,2020-05-07,3,,8.8,9.4,11.5,80.79,5.4,11,8.2,,,1019.55,
102,2020-05-08,3,,9,11.8,15.9,66.5,2.7,6,14.183,,,1014.92,
102,2020-05-09,3,,9,12,14.6,81.58,3.7,7,12.567,,,1010.85,
102,2020-05-10,3,,7.2,9.5,13.4,85.71,10.8,22.8,7.017,,,1004.71,
102,2020-05-11,3,,6.6,7.4,8,62.29,13.7,18.3,13.183,,,1009.85,
102,2020-05-12,3,,6,7.5,8.7,73.04,10.7,20.7,5.15,,,1011.12,
102,2020-05-13,3,,6.5,7.6,8.6,72.08,9.3,15.1,8.083,,,1009.33,
102,2020-05-14,3,,6.7,7.5,8,63.33,7,12.9,12.717,,,1016.52,
102,2020-05-15,3,,7.6,9.2,10.1,77.29,10,15.2,6.167,,,1016.37,
102,2020-05-16,3,,9,10.2,12.1,81.96,9.4,12.9,3.833,,,1016.19,
102,2020-05-17,3,,9.4,11,12.6,81.92,10.1,14.6,13.05,,,1017.08,
102,2020-05-18,3,,11,11.8,12.7,87.58,8.9,13.3,1.5,,,1016.23,
102,2020-05-19,3,,10.9,11.5,12.1,95.63,6.4,11.9,5.45,,,1017.15,
102,2020-05-20,3,,11,11.9,14.1,93.33,2.1,5,9.65,,,1019.84,
102,2020-05-21,3,,10,13.6,18.9,85.33,4.4,11.4,9.933,,,1018.8,
102,2020-05-22,3,,12.7,15.6,17.4,79.29,7.9,16.3,1.317,,,1012.96,
102,2020-05-23,3,,10.9,13.2,14.8,77.71,9.9,20.1,10.483,,,1014.55,
102,2020-05-24,3,,11.4,12.2,12.9,86.5,11.7,17.8,8.967,,,1019.22,
102,2020-05-25,3,,8.9,10.3,11.5,83.46,9.8,17.9,0.017,,,1027.72,
102,2020-05-26,3,,8.5,10.4,14.6,88.13,2.2,5.4,8.1,,,1031.92,
102,2020-05-27,3,,10.6,11.8,12.6,86.96,6.9,17.6,8.517,,,1030.51,
102,2020-05-28,3,,10.5,10.9,11.6,79.29,8.4,11.4,15.117,,,1030.22,
102,2020-05-29,3,,10.6,12,14,83,6.5,10.1,15.633,,,1026.37,
102,2020-05-30,3,,13.1,14.1,16.3,77.13,5.9,11.5,14.05,,,1022.85,
102,2020-05-31,3,,13.1,15.3,18.4,69.65,7.4,13.9,11.05,,,1022.1,
102,2020-06-01,3,,13.6,16.7,20.5,66.29,7.6,10.6,13.233,,,1021.26,
102,2020-06-02,3,,14.6,17.3,19.9,62.54,5.8,9.6,14.45,,,1014.02,
102,2020-06-03,3,,13.9,17.4,23.1,76.63,7.4,15.8,8.267,,,1000.6,
102,2020-06-04,3,,11.1,13.4,16.1,87.67,7.3,15.8,1.817,,,990.69,
102,2020-06-05,3,,8.6,11,14.2,76.21,10.5,21,5.1,,,987.25,
102,2020-06-06,3,,7.6,11.1,13.7,72.04,9.7,20.5,8.267,,,993.05,
102,2020-06-07,3,,10.2,12.4,13.4,76.33,9,17.5,7.617,,,1000.35,
102,2020-06-08,3,,11.4,12.1,12.9,84.5,4.6,9.8,14.1,,,1010.5,
102,2020-06-09,3,,11.2,11.8,12.6,69.83,4.1,7.1,14.283,,,1015.57,
102,2020-06-10,3,,12.4,13.9,16.6,83.58,6.6,11.5,5.233,,,1013.44,
102,2020-06-11,3,,13.9,15.3,16.9,90.58,8.9,14.2,0,,,1009.45,
102,2020-06-12,3,,14.3,16.8,20.3,89.5,8.1,12.8,6.383,,,1007.41,
102,2020-06-13,3,,15.1,17.8,21.6,92.79,9.2,14.9,8.783,,,1008.13,
102,2020-06-14,3,,15.7,16.8,18.2,93.46,6.4,13.7,0,,,1010.01,
102,2020-06-15,3,,14.3,16.4,18.9,79.79,6,10.1,14.433,,,1011.83,
102,2020-06-16,3,,13.7,15.9,18.6,91.58,4,8.2,11.667,,,1011.17,
102,2020-06-17,3,,13.8,16.5,20.8,92,5.9,10.8,15.433,,,1009.01,
102,2020-06-18,3,,14.1,17.7,22.2,86.92,7.2,11.3,7.65,,,1007.39,
102,2020-06-19,3,,13.9,15,16.5,94.96,6.3,10.8,5.45,,,1010.92,
102,2020-06-20,3,,14.5,15.3,16.4,91.71,5.7,8.9,11.883,,,1015.82,
102,2020-06-21,3,,14.6,17.7,22.8,75.42,4.7,14.2,12.317,,,1015.52,
102,2020-06-22,3,,15.1,15.9,17.3,90.13,4.3,7.7,15.5,,,1019.65,
102,2020-06-23,3,,15,17,18.8,77.38,2.3,4.6,15.517,,,1022.29,
102,2020-06-24,3,,17.4,19.9,23.5,69.79,5.7,10.8,15.533,,,1021.54,
102,2020-06-25,3,,18.8,22,25.9,71.67,7.7,11.1,12.483,,,1017.54,
102,2020-06-26,3,,20.2,23.7,28.1,64.08,6,11.3,15.333,,,1010.1,
102,2020-06-27,3,,17.1,20.9,23.7,80.38,4.7,16.5,6.733,,,1004.8,
102,2020-06-28,3,,15.2,17.6,19.7,77.29,6.8,16.8,4.25,,,1006.41,
102,2020-06-29,3,,14.4,16.5,18.1,68.17,10.6,20.3,7.417,,,1004.68,
102,2020-06-30,3,,13,14.6,16.1,87.88,13.4,18.9,0.583,,,1000.78,
102,2020-07-01,3,,13.8,16.1,20.7,89.26,8.5,15.6,8.083,,,1000.45,
102,2020-07-02,3,,13.4,15.4,17.3,85.88,3.8,11.3,5.167,,,1005.14,
102,2020-07-03,3,,13.5,16.2,18.8,77.67,7.3,17.9,2.683,,,1009.49,
102,2020-07-04,3,,14,16.1,17.5,93.96,12.7,18.1,0.033,,,1005.46,
102,2020-07-05,3,,15.8,17.1,18.9,83.88,13.7,23.3,2.983,,,1001.47,
102,2020-07-06,3,,11.4,14.4,16,75.46,14.9,25.5,4.9,,,1006.09,
102,2020-07-07,3,,12.2,13.9,15.1,74.13,10.2,18.3,2.767,,,1012.71,
102,2020-07-08,3,,12.4,13.8,14.5,73.29,4.7,15.3,11.183,,,1011.42,
102,2020-07-09,3,,11.2,13.3,14.7,79.96,4.8,9.6,0,,,1008.96,
102,2020-07-10,3,,11.6,13.3,14.6,80.58,8.8,14.3,4.1,,,1008.13,
102,2020-07-11,3,,12.3,14.5,15.4,72,7.9,13.4,12.033,,,1018.76,
102,2020-07-12,3,,14.2,14.9,16,72.63,5.8,10.5,13.817,,,1023.58,
102,2020-07-13,3,,14.3,16.5,20.5,71.46,3.7,7.5,12.15,,,1019.15,
102,2020-07-14,3,,13.7,15.6,17.1,85.79,5.4,11.5,0.083,,,1010.19,
102,2020-07-15,3,,14.7,15.3,16,79.25,4.7,8.4,5.35,,,1009.85,
102,2020-07-16,3,,14.8,16.2,17.5,75.75,2.5,5.7,15.1,,,1013.15,
102,2020-07-17,3,,16.6,17.5,20.8,74.63,1.1,3.6,13.083,,,1016.45,
102,2020-07-18,3,,17.2,20.2,24.9,75.04,3.1,5.1,9.5,,,1015.03,
102,2020-07-19,3,,15.2,18.7,20.9,84.22,5.1,11,4.033,,,1011.41,
102,2020-07-20,3,,14.2,15.7,16.2,72.67,6.9,11.7,12.95,,,1015.28,
102,2020-07-21,3,,14,15.7,16.5,72.33,7.1,12.5,8.85,,,1018.45,
102,2020-07-22,3,,15,15.5,16.1,70.21,5.4,9.1,9.15,,,1018.65,
102,2020-07-23,3,,14.8,17.1,19.8,72.71,4.8,9.4,0.667,,,1012.07,
102,2020-07-24,3,,16.1,17.3,18.4,80.96,7.8,12.4,10.55,,,1005.97,
102,2020-07-25,3,,15.6,18,20.8,86.71,6.7,12.4,2.3,,,1005.67,
102,2020-07-26,3,,16.6,17.8,19.5,84.13,9.7,16.3,10.117,,,1004.65,
102,2020-07-27,3,,16.7,18.3,20,76.38,8,16.1,0.983,,,1008.06,
102,2020-07-28,3,,14.4,17,18.7,74.92,12.3,19.1,5.85,,,1004.36,
102,2020-07-29,3,,13.9,15.7,16.6,71,13.7,22.6,3.183,,,1011.72,
102,2020-07-30,3,,14.5,16.7,18.3,72.04,6,12.9,9.883,,,1016.51,
102,2020-07-31,3,,17,18.8,21.7,76.71,4.1,11.2,12.95,,,1014.78,
102,2020-08-01,3,,17.3,19.5,24.6,77.17,8.3,15.5,8.067,,,1009.73,
102,2020-08-02,3,,16.4,17.3,19.5,86.5,6.1,12.7,8.65,,,1009.64,
102,2020-08-03,3,,15.8,16.4,17.2,75.67,4.4,8.4,9,,,1009.95,
102,2020-08-04,3,,14.9,16.1,17.5,70.75,4.1,11.9,10.267,,,1012.02,
102,2020-08-05,3,,16.9,19.7,24.4,68.08,8,15.3,11.4,,,1011.23,
102,2020-08-06,3,,19,21.5,26.7,64.13,6.3,10.5,13.167,,,1015.48,
102,2020-08-07,3,,20.3,24.5,29.5,56.71,5.1,9.1,14.6,,,1017.28,
102,2020-08-08,3,,21.5,23.8,29.3,70.5,4.4,9.5,11.5,,,1016.69,
102,2020-08-09,3,,21.2,23,25.4,75,6.1,9.6,10.7,,,1015.76,
102,2020-08-10,3,,21.1,24,28.6,76,7.4,11.4,13.55,,,1013.97,
102,2020-08-11,3,,21.2,24.5,28.8,72.29,8.9,14,13.85,,,1015.06,
102,2020-08-12,3,,19.9,24,29.4,67.33,9.2,13.8,13.8,,,1013.33,
102,2020-08-13,3,,20.2,23.2,27.7,67.92,8.6,12.5,12.417,,,1010.05,
102,2020-08-14,3,,19.6,21.5,24.1,77.88,5.7,10.9,9.033,,,1009.12,
102,2020-08-15,3,,20.2,21.5,24.3,81.42,5.9,9.9,12.167,,,1010.86,
102,2020-08-16,3,,21,23.5,26.7,73.58,4.3,9.9,12.967,,,1008.59,
102,2020-08-17,3,,18.4,21.2,24.5,87.46,3.1,9.4,0.383,,,1005.62,
102,2020-08-18,3,,17.1,19.3,20.8,86.61,4.1,8.9,8.8,,,1005.79,
102,2020-08-19,3,,18,20.8,23.8,75.88,4.7,8.8,11.817,,,1005.83,
102,2020-08-20,3,,19.8,22.6,24.8,78.63,6.4,12.8,1.317,,,1003.7,
102,2020-08-21,3,,21,22.8,25.9,78.13,9.5,19.6,5.583,,,1003.73,
102,2020-08-22,3,,17.1,19.8,21.1,76.33,10.7,18.7,6.283,,,1007.06,
102,2020-08-23,3,,16,17.4,18.5,83.21,10.9,17.1,5.633,,,1007.33,
102,2020-08-24,3,,14.8,16.2,17.7,85.17,7.6,17.2,0.817,,,1008.03,
102,2020-08-25,3,,15.4,16.9,18.5,77.21,9.2,22.4,3.717,,,1003.75,
102,2020-08-26,3,,15,17.5,18.9,88.5,16.6,27.1,2.767,,,995.08,
102,2020-08-27,3,,13.9,16.2,16.8,70.25,8.6,21.5,4.583,,,1009.15,
102,2020-08-28,3,,14.5,16.5,19.3,80.08,8.1,14.6,3.167,,,997.2,
102,2020-08-29,3,,13.6,15.9,18.8,81.71,7.4,14.7,7.1,,,998.31,
102,2020-08-30,3,,15.7,16.9,19.4,78.96,6.2,14.9,12.117,,,1006.25,
102,2020-08-31,3,,15.4,16.4,17.7,67.92,5.1,13.8,3.833,,,1014.05,
102,2020-09-01,3,,15.3,16.7,18.7,62.83,5.4,8.8,13.383,,,1016.27,
102,2020-09-02,3,,15.7,16.9,17.7,74.96,3,5.8,12.467,,,1015.21,
102,2020-09-03,3,,13.8,15.7,18.4,87.83,9.7,17.6,0,,,1011.35,
102,2020-09-04,3,,15.3,17.1,18.6,81.21,8.8,13.1,5.3,,,1013.41,
102,2020-09-05,3,,13.9,15.6,16.9,75.13,11.6,19,7.733,,,1010.93,
102,2020-09-06,3,,12.4,14.8,16.3,75.33,7.4,18.4,4.45,,,1013.33,
102,2020-09-07,3,,12.8,15.7,17.4,76.71,6.1,14.3,6.133,,,1017.45,
102,2020-09-08,3,,15.4,17,18.2,94.54,11.2,16.7,1.917,,,1017.32,
102,2020-09-09,3,,16.3,17.4,18.4,89.42,10.9,15.4,0.883,,,1014.38,
102,2020-09-10,3,,15,15.7,16.6,65.46,6.4,15.6,7.75,,,1017,
102,2020-09-11,3,,14,15.6,17.1,71.71,6.1,11.4,4.767,,,1012.7,
102,2020-09-12,3,,14,16,17.3,76.92,11.1,20,5.517,,,1012.78,
102,2020-09-13,3,,14.1,16.9,20.2,85.3,9.3,16.5,9.767,,,1018.7,
102,2020-09-14,3,,16.1,19.6,24.9,78.52,5.1,7.9,11.5,,,1020.84,
102,2020-09-15,3,,18.2,21,23.3,73,2.7,6.4,10.567,,,1015.93,
102,2020-09-16,3,,15,16.9,22.1,84.63,8.5,16.4,3.417,,,1017.28,
102,2020-09-17,3,,13.3,14.7,16.2,64.17,7.6,12.7,10.317,,,1026.6,
102,2020-09-18,3,,12,14.6,17.6,67.96,6.5,10.7,12.017,,,1025.12,
102,2020-09-19,3,,13.1,15.4,18,71.54,8.1,10.6,9.183,,,1019.27,
102,2020-09-20,3,,13.5,15.6,18,76.08,6.4,9.5,11.65,,,1016.87,
102,2020-09-21,3,,14,16.8,21.5,73.67,3.8,7.1,11.517,,,1013.5,
102,2020-09-22,3,,15.9,17.3,22.1,77.63,1.7,4.1,11.283,,,1005.95,
102,2020-09-23,3,,15.1,17.4,20.6,79.75,6.4,14.7,7.15,,,998.59,
102,2020-09-24,3,,13.7,16,17.7,71.75,11.4,22,7.35,,,995.1,
102,2020-09-25,3,,12.1,13.6,15.3,71.17,7.6,14.4,5.183,,,991.55,
102,2020-09-26,3,,12.6,13.9,16.3,78.79,6.8,25,2,,,993.22,
102,2020-09-27,3,,12.3,13.9,16.9,91.54,6.3,19.1,0.017,,,999.11,
102,2020-09-28,3,,12.4,13.5,16,97.42,4.3,8.5,0,,,1004.94,
102,2020-09-29,3,,12.4,13.6,15.5,89,6.9,10.2,0.567,,,1010.33,
102,2020-09-30,3,,12.5,14.8,17.8,91.58,6.2,11.3,5.117,,,1009.87,
102,2020-10-01,3,,12.8,15.2,17.6,84,9.5,15.2,4.033,,,999.14,
